comment_id,commentor_username,post_id,score,readers_count,created_at,body
1439319,akshay.tupkar,298223,0.6,3,2024-07-01T08:21:03.485Z,"<p>Dear <a class=""mention"" href=""/u/sivaramakrishnanv"">@SivaRamaKrishnaNV</a><br>
I came across a sample named “Connected Components” in driveworks which seems like segmentation</p>"
1439512,SivaRamaKrishnaNV,298223,0.6,3,2024-07-01T13:02:00.113Z,"<p>Dear <a class=""mention"" href=""/u/akshay.tupkar"">@akshay.tupkar</a>,<br>
It is not a DNN based segmentation(like UNet) but based on image processing techniques. It demonstrates the connected components module API usage. Image gets divided into different group of pixels based the intensities. If you plan to check segmenting the image with pedestrian/vehicles and different set of classes etc, it may not work optimally. Please see if it fits your requirement.</p>"
1439454,SivaRamaKrishnaNV,298254,0.8,3,2024-07-01T11:36:10.894Z,"<p>Dear <a class=""mention"" href=""/u/deng.shigang"">@deng.shigang</a>,<br>
On target compilation is not supported and need to cross compile the DW samples. Please see the discussion at <a href=""https://forums.developer.nvidia.com/t/setting-up-driveworks-5-14-on-the-drive-orin/297410/5"" class=""inline-onebox"">Setting up Driveworks 5.14 on the Drive Orin - #5 by SivaRamaKrishnaNV</a> if it helps…</p>"
1439274,SivaRamaKrishnaNV,298239,0.6,3,2024-07-01T07:44:36.424Z,"<p>Dear <a class=""mention"" href=""/u/deng.shigang"">@deng.shigang</a>,<br>
We don’t have API to generate png images. You can record the video and use tools like <code>ffmpeg</code> to extract the images from it. To get recorded video, you can use DW’s sample_camera or recorder tool .<br>
Also, see if <a href=""https://developer.nvidia.com/docs/drive/drive-os/6.0.8.1/public/drive-os-linux-sdk/common/topics/nvmedia_sample_apps/nvmedia_nvsipl_camera_CommandLineSwitches32.html"">nvsipl_camera</a> with <code>-f</code> and <code>--writeFrames</code> flag to generate <code>yuv</code> files.</p>"
1431883,tingguang.wang1,296816,1.2,5,2024-06-18T09:56:19.643Z,"<p>I saw a topic about entron f008a said that it was not supported in official release but it was closed already (2021 oct).</p>
<p>Should I flash the software 10.0 rev2? is it fixed in this version?</p>"
1432222,SivaRamaKrishnaNV,296816,10.8,3,2024-06-18T16:51:12.762Z,"<p>Dear <a class=""mention"" href=""/u/tingguang.wang1"">@tingguang.wang1</a>,<br>
in DRIVE SW 10.0, the image capture in DW(DRIVEAV) is based on Nvmedia IPP framework.<br>
In DRIVE OS 5.2.6 + DW 4.0 release, IPP is deprecated and replaced with NVSIPL framework. Note that, the DriveAV supported sensors in DRIVE SW 10.0 are SF3325 and SF3324 and DRIVE IX supports AR0144ATSM-GEVK</p>"
1432445,tingguang.wang1,296816,0.4,1,2024-06-19T01:57:58.163Z,"<p>If I just keepSW10.0 now , what should I do to capture Entron f008a120bm0a video file?<br>
Try IPP, correct?</p>"
1433616,tingguang.wang1,296816,0.4,1,2024-06-20T09:48:31.722Z,"<p>When I looking into IPP in SW10.0 documentation, entron camera is not listed</p>"
1433704,SivaRamaKrishnaNV,296816,5.4,1,2024-06-20T11:22:04.703Z,"<p>Dear <a class=""mention"" href=""/u/tingguang.wang1"">@tingguang.wang1</a>,<br>
Entron camera is not supported with Driveworks. Please use supported sensors for using driveworks. Enabling unsupported camera for DW is out of forum support scope.</p>"
1438980,tingguang.wang1,296816,0.4,1,2024-07-01T01:53:33.955Z,"<p>where can I check this support info in overall ?<br>
As ecosystem camera supplier, entron is only supported within nvmedia scope?</p>"
1439026,SivaRamaKrishnaNV,296816,0.2,1,2024-07-01T02:48:17.881Z,"<p>Dear <a class=""mention"" href=""/u/tingguang.wang1"">@tingguang.wang1</a>,<br>
Please check <a href=""https://developer.nvidia.com/drive/ecosystem-xavier#camera"" class=""inline-onebox"">DRIVE AGX Xavier Sensors &amp; Accessories | NVIDIA Developer</a> for supported cameras and compatible DRIVE release version</p>
<p>As clarified earlier DRIVE SW 10.0 uses IPP based framework to capture images in DRIVE AV. We later deprecated IPP and moved to SIPL framework.<br>
Note that they are no releases targetted for DRIVE AGX Xavier platform and hence we request to use the supported cameras only.</p>"
1438974,SivaRamaKrishnaNV,298073,0.4,1,2024-07-01T01:47:53.039Z,"<aside class=""quote no-group"" data-username=""ricardo.gonzalez1"" data-post=""1"" data-topic=""298073"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> ricardo.gonzalez1:</div>
<blockquote>
<p>I am writing to confirm whether TZ-SE is indeed not supported on Linux,</p>
</blockquote>
</aside>
<p>Yes.</p>
<p>Please use <a href=""https://forums.developer.nvidia.com/c/autonomous-vehicles/drive-agx-orin/drive-agx-orin-general/520"" class=""inline-onebox"">DRIVE AGX Orin General - NVIDIA Developer Forums</a> to post topics related to DRIVE AGX Orin. Also, consider upgrading to latest release (DRIVE 6.0.8.1) to get latest software.</p>"
1432280,SivaRamaKrishnaNV,296861,6.6,7,2024-06-18T18:44:35.031Z,"<p>Dear <a class=""mention"" href=""/u/chris.hoffman"">@chris.hoffman</a>,<br>
Are you asking about object detection sample based on yolov3? If so, please check <a href=""https://developer.nvidia.com/docs/drive/drive-os/6.0.8.1/public/driveworks-nvsdk/nvsdk_dw_html/dwx_object_detector_tracker_sample.html"" class=""inline-onebox"">DriveWorks SDK Reference: Basic Object Detector and Tracker Sample</a> for details. For source code, please see <code>/usr/local/driveworks/samples/src/dnn/sample_object_detector_tracker</code> on docker.</p>"
1432303,chris.hoffman,296861,1.6,7,2024-06-18T20:14:17.915Z,"<p><a class=""mention"" href=""/u/sivaramakrishnanv"">@SivaRamaKrishnaNV</a></p>
<p>sorry, which docker are you referring to here?<br>
Also, how to run the object detection sample directly with the camera visualization using <code>nvsipl_camera</code>?</p>"
1432311,SivaRamaKrishnaNV,296861,6.6,7,2024-06-18T20:53:46.972Z,"<p>Dear <a class=""mention"" href=""/u/chris.hoffman"">@chris.hoffman</a>,<br>
If you have used sdkmanager to flash the target, you can find the source code at <code>usr/local/driveworks/samples/src/dnn/sample_object_detector_tracker</code> on host.</p>
<p>You can not run object detection directly on nvsipl_camera. The object detector sample also works with live camera. So please check using live camera data in the sample.</p>
<p>May I know why you are using DRIVE OS 6.0.5 and not the latest release(6.0.8.1)?</p>"
1433813,chris.hoffman,296861,11.6,7,2024-06-20T17:14:18.807Z,"<p><a class=""mention"" href=""/u/sivaramakrishnanv"">@SivaRamaKrishnaNV</a></p>
<ol>
<li>
<p>I had to use the NGC docker to flash 6.0.5 as I couldn’t use the SDK. In that case, where can I find the built sample or example?</p>
</li>
<li>
<p>Will I be able to get the sample if I just download the 6.0.5 OS using SDK manager on Ubuntu Host?</p>
</li>
<li>
<p>We are on 6.0.5 because our camera drivers were tied to it.</p>
</li>
<li>
<p>Is it possible to show bounding box visualization on the nvsipl_camera output? Or what are the other capabilities of <code>nvsipl_camera</code>? We want the bounding boxes to be shown on the simulated data injected into the Orin and visualized using <code>nvsipl_camera</code></p>
</li>
<li>
<p>What do you mean by live camera? Are you talking about a real camera lens connected to group A?</p>
</li>
</ol>"
1435076,SivaRamaKrishnaNV,296861,6.4,6,2024-06-24T13:55:38.659Z,"<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""6"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>I had to use the NGC docker to flash 6.0.5 as I couldn’t use the SDK. In that case, where can I find the built sample or example?</p>
</blockquote>
</aside>
<p>You can find the source code at <code>/usr/local/driveworks/samples/src/dnn/sample_object_detector_tracker</code> on docker</p>
<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""6"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>what are the other capabilities of <code>nvsipl_camera</code>?</p>
</blockquote>
</aside>
<p>It just shows the camera display output from live camera or can take RAW camera data as input.</p>
<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""6"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>What do you mean by live camera? Are you talking about a real camera lens connected to group A?</p>
</blockquote>
</aside>
<p>Yes.</p>
<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""6"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>We want the bounding boxes to be shown on the simulated data injected into the Orin and visualized using <code>nvsipl_camera</code></p>
</blockquote>
</aside>
<p>nvsipl_camera is just based in NVMedia APIs. To detect bouding boxes, we need to use TensorRT framework to perform object detection and detect bouding box.</p>
<p>We have object detector sample in DW as a reference example which showcase object bounding box detection on live camera or recorder data. Note that, DW internally uses NVMedia(SIPL) APIs to capture camera data and TensorRT APIs to perform any DL related task.</p>"
1436120,chris.hoffman,296861,6.4,6,2024-06-25T20:59:44.355Z,"<p><a class=""mention"" href=""/u/sivaramakrishnanv"">@SivaRamaKrishnaNV</a></p>
<aside class=""quote group-Employee"" data-username=""SivaRamaKrishnaNV"" data-post=""7"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea2.discourse-cdn.com/nvidia/user_avatar/forums.developer.nvidia.com/sivaramakrishnanv/48/14043_2.png"" class=""avatar""> SivaRamaKrishnaNV:</div>
<blockquote>
<p>You can find the source code at <code>/usr/local/driveworks/samples/src/dnn/sample_object_detector_tracker</code> on docker</p>
</blockquote>
</aside>
<ol>
<li>
<p>Thank you for the clarity on all questions. Do you recommend copying the source code from Docker 6.0.5 to Ubuntu host and then building<br>
or<br>
directly copying the source code to Target Orin and building the application there?</p>
</li>
<li>
<p>I am planning on using the command from the README as reference.</p>
</li>
</ol>
<pre><code class=""lang-auto"">./sample_object_detector_tracker --input-type=[video|camera]
                            --video=[path/to/video]
                            --camera-type=[camera]
                            --camera-group=[a|b|c|d]
                            --camera-index=[0|1|2|3]
                            --slave=[0|1]
                            --tensorRT_model=[path/to/TensorRT/model]
</code></pre>
<aside class=""quote group-Employee"" data-username=""SivaRamaKrishnaNV"" data-post=""7"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea2.discourse-cdn.com/nvidia/user_avatar/forums.developer.nvidia.com/sivaramakrishnanv/48/14043_2.png"" class=""avatar""> SivaRamaKrishnaNV:</div>
<blockquote>
<p>nvsipl_camera is just based in NVMedia APIs. To detect bouding boxes, we need to use TensorRT framework to perform object detection and detect bouding box.</p>
<p>We have object detector sample in DW as a reference example which showcase object bounding box detection on live camera or recorder data. Note that, DW internally uses NVMedia(SIPL) APIs to capture camera data and TensorRT APIs to perform any DL related task.</p>
</blockquote>
</aside>
<p>My understanding is I can use the same camera/platform (f.e,  <code>""IMX728_RGGB_CPHY_x4""</code>) supported in <code>nvsipl_camera</code> but replace the application with <code>sample_object_detector_tracker</code>. Is this accurate?</p>"
1436195,SivaRamaKrishnaNV,296861,6.4,6,2024-06-26T01:38:04.272Z,"<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""6"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>We are on 6.0.5 because our camera drivers were tied to it</p>
</blockquote>
</aside>
<p>Does that mean, you can not upgrade to latest release DRIVE OS 6.0.8.1? I remember there was some issues in DW DNN model in DRIVE OS 6.0.5 and got fixed later. I see a reported known issue in DRIVE OS 6.0.5 release notes(3823785). Can you quickly verify the <code>/usr/local/driveworks/bin/sample_object_detector_tracker</code> with recorder video as input on target. If you don’t find the sample on target, please install the Driveworks data and samples debians on target. You can find them under <code>/drive/extra</code> on docker.</p>
<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""8"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>Do you recommend copying the source code from Docker 6.0.5 to Ubuntu host and then building<br>
or<br>
directly copying the source code to Target Orin and building the application there?</p>
</blockquote>
</aside>
<p>DW samples can not be compiled on target and needs to cross compiled on host. Please use docker container to cross compile DW samples.</p>
<aside class=""quote no-group"" data-username=""chris.hoffman"" data-post=""8"" data-topic=""296861"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" class=""avatar"" src=""https://global.discourse-cdn.com/nvidia/original/3X/d/2/d2a387bcc59afb6f6fc9281deb01d412675e26e6.png"" data-dominant-color=""DADBDA""> chris.hoffman:</div>
<blockquote>
<p>I can use the same camera/platform (f.e, <code>""IMX728_RGGB_CPHY_x4""</code>) supported in <code>nvsipl_camera</code> but replace the application with <code>sample_object_detector_tracker</code>. Is this accurate?</p>
</blockquote>
</aside>
<p>Correct. You are expected to use right value for <code>--camera-type</code>. Please verify the camera functionality with sample_camera  (<a href=""https://developer.nvidia.com/docs/drive/drive-os/6.0.5/public/driveworks-nvsdk/dwx_camera_sample.html"" class=""inline-onebox"">DriveWorks SDK Reference: Camera Sample</a>)</p>"
1438539,chris.hoffman,296861,45.6,2,2024-06-28T20:56:48.129Z,<p>We will be trying this out and will update the results. Adding a response so the ticket does not get closed.</p>
1432236,SivaRamaKrishnaNV,296779,5.8,3,2024-06-18T17:23:25.304Z,"<p>Dear <a class=""mention"" href=""/u/collin.day"">@collin.day</a>,<br>
Could you share more details on when you see this error? Are you running any sample application and notice the above issue? If so, could you share the application logs, syslog as well?</p>"
1432320,collin.day,296779,0.8,3,2024-06-18T21:48:03.275Z,"<p>No - we don’t see it in nvsipl_camera.  It is our application, so I am not asking you to solve what we are doing wrong to cause it, I just want to better understand what the message implies since we can’t find any info in the SDK docs.</p>"
1435231,SivaRamaKrishnaNV,296779,5.8,3,2024-06-24T19:26:21.970Z,"<p>Dear <a class=""mention"" href=""/u/collin.day"">@collin.day</a>,<br>
It indicates either enabled ISP output related queue or SIPL notification queues are full.</p>"
1438514,collin.day,296779,0.6,2,2024-06-28T19:03:30.655Z,<p>Thank you for clarifying that.</p>
1438315,SivaRamaKrishnaNV,298033,1.2,5,2024-06-28T09:55:03.497Z,"<p>Dear <a class=""mention"" href=""/u/akshay.tupkar"">@akshay.tupkar</a><br>
May I know which sensor you like to use ?<br>
Is there any reason you are looking for a non supported sensors.<br>
Please see <a href=""https://developer.nvidia.com/docs/drive/drive-os/6.0.8.1/public/driveworks-nvsdk/nvsdk_dw_html/advanced_tutorials.html#dwx_advanced_tutorials_custom"" class=""inline-onebox"">DriveWorks SDK Reference: Advanced Tutorials</a> if it helps</p>"
